n,Yes,No,609794
12/26/2013,Credit card,,Delinquent account,,,,Army and Air Force Exchange Service,PA,18974,Servicemember,,Web,12/26/2013,Closed with explanation,Yes,Yes,646167
12/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Aargon Agency, Inc.",TX,77044,Servicemember,,Web,12/16/2013,Closed,Yes,No,628009
12/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Fidelity National Information Services, Inc. (FNIS)",TX,77044,Servicemember,,Web,12/16/2013,Closed with explanation,Yes,No,628010
12/10/2013,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt was paid,,,"G. Reynolds Sims & Associates, P. C.",MI,48504,"Older American, Servicemember",,Web,12/17/2013,Closed with explanation,Yes,No,628011
11/15/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,MD,21014,,,Web,11/20/2013,Closed with non-monetary relief,Yes,No,599576
12/18/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,Discover,CA,93011,Older American,,Fax,12/24/2013,Closed with explanation,Yes,Yes,644120
01/07/2014,Credit card,,Other fee,,,,Bank of America,CA,92606,,,Web,01/16/2014,Closed with explanation,Yes,No,657162
01/07/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,MA,02021,,,Web,01/06/2014,Closed with explanation,Yes,No,657160
01/14/2014,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,AES/PHEAA,MD,21702,Servicemember,,Web,01/14/2014,Closed with explanation,Yes,No,668012
12/03/2013,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,Performant Financial Corporation,WA,98020,,,Web,12/03/2013,Closed with explanation,Yes,No,619361
12/03/2013,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,,"ECMC Group, Inc.",WA,98020,,,Web,12/03/2013,Closed with explanation,Yes,No,619362
